Season/Team,player_id,season_starts,average_location,player_from,row_id,is_goalie
La Liga 2005/2006 Barcelona,25854,12,"[54.37743362831861, 12.438495575221243]",Sylvio Mendes Campos Junior,8,0
La Liga 2005/2006 Barcelona,5503,11,"[72.61417322834652, 51.549606299212606]",Lionel Andrés Messi Cuccittini,9,0
La Liga 2005/2006 Barcelona,5216,7,"[60.17891891891891, 39.03945945945947]",Andrés Iniesta Luján,10,0
La Liga 2005/2006 Barcelona,1111111111,17,"[120, 40]",Shot,11,0
La Liga 2006/2007 Barcelona,20176,26,"[12.457487922705308, 41.81787439613525]",Víctor Valdés Arribas,0,1
La Liga 2006/2007 Barcelona,20125,23,"[37.96269531250002, 30.09843749999999]",Carles Puyol i Saforcada,1,0
La Liga 2006/2007 Barcelona,5503,23,"[75.86988636363634, 51.0440340909091]",Lionel Andrés Messi Cuccittini,2,0
La Liga 2006/2007 Barcelona,25879,23,"[72.29072681704261, 27.31804511278195]",Ronaldo de Assis Moreira,3,0
La Liga 2006/2007 Barcelona,20131,22,"[58.79875311720693, 45.45374064837906]",Xavier Hernández Creus,4,0
La Liga 2006/2007 Barcelona,15774,21,"[51.58337801608577, 56.95093833780166]",Gianluca Zambrotta,5,0
La Liga 2006/2007 Barcelona,19757,21,"[63.57812499999997, 33.80243055555558]",Anderson Luís de Souza,6,0
La Liga 2006/2007 Barcelona,5216,20,"[56.21435331230283, 38.363091482649835]",Andrés Iniesta Luján,7,0
La Liga 2006/2007 Barcelona,15071,18,"[34.90507726269319, 51.78697571743927]",Lilian Thuram,8,0
La Liga 2006/2007 Barcelona,19298,17,"[77.00602409638556, 34.99397590361444]",Samuel Eto''o Fils,9,0
La Liga 2006/2007 Barcelona,17797,15,"[53.05326086956522, 12.144927536231886]",Giovanni van Bronckhorst,10,0
La Liga 2006/2007 Barcelona,1111111111,26,"[120, 40]",Shot,11,0
La Liga 2007/2008 Barcelona,20176,26,"[11.65561497326203, 41.424598930481274]",Víctor Valdés Arribas,0,1
La Liga 2007/2008 Barcelona,20131,25,"[58.00059311981015, 47.66785290628709]",Xavier Hernández Creus,1,0
La Liga 2007/2008 Barcelona,5503,23,"[74.98655462184873, 54.78207282913166]",Lionel Andrés Messi Cuccittini,2,0
La Liga 2007/2008 Barcelona,20177,22,"[51.50594059405938, 13.05504950495049]",Eric-Sylvain Bilal Abidal,3,0
La Liga 2007/2008 Barcelona,20125,21,"[40.4491606714628, 46.686330935251775]",Carles Puyol i Saforcada,4,0
La Liga 2007/2008 Barcelona,25919,20,"[39.129098360655725, 25.547540983606588]",Gabriel Alejandro Milito,5,0
La Liga 2007/2008 Barcelona,5216,20,"[58.235725677830914, 32.97432216905902]",Andrés Iniesta Luján,6,0
La Liga 2007/2008 Barcelona,15516,20,"[73.05294117647061, 23.075490196078444]",Thierry Henry,7,0
La Liga 2007/2008 Barcelona,15774,18,"[50.81812297734625, 68.96343042071207]",Gianluca Zambrotta,8,0
La Liga 2007/2008 Barcelona,3087,17,"[52.05743243243242, 40.60743243243239]",Gnégnéri Yaya Touré,9,0
La Liga 2007/2008 Barcelona,19757,12,"[63.30279329608937, 33.46312849162013]",Anderson Luís de Souza,10,0
La Liga 2007/2008 Barcelona,1111111111,26,"[120, 40]",Shot,11,0
La Liga 2008/2009 Barcelona,20176,31,"[13.31476793248945, 42.56455696202533]",Víctor Valdés Arribas,0,1
La Liga 2008/2009 Barcelona,20131,30,"[65.44942418426099, 48.38205374280228]",Xavier Hernández Creus,1,0
La Liga 2008/2009 Barcelona,4324,28,"[62.32338461538465, 67.50384615384601]",Daniel Alves da Silva,2,0
La Liga 2008/2009 Barcelona,5503,27,"[79.32546201232036, 50.42689938398359]",Lionel Andrés Messi Cuccittini,3,0
La Liga 2008/2009 Barcelona,19298,27,"[76.8026845637584, 41.04362416107382]",Samuel Eto''o Fils,4,0
La Liga 2008/2009 Barcelona,20125,24,"[47.982683982683945, 33.80779220779221]",Carles Puyol i Saforcada,5,0
La Liga 2008/2009 Barcelona,15516,21,"[74.5673684210527, 20.35859649122807]",Thierry Henry,6,0
La Liga 2008/2009 Barcelona,5213,21,"[43.272881355932206, 42.75254237288133]",Gerard Piqué Bernabéu,7,0
La Liga 2008/2009 Barcelona,5558,20,"[43.595266272189335, 54.21380670611444]",Rafael Márquez Álvarez,8,0
La Liga 2008/2009 Barcelona,20177,20,"[54.78591224018472, 13.970207852194]",Eric-Sylvain Bilal Abidal,9,0
La Liga 2008/2009 Barcelona,5216,20,"[69.33346379647756, 28.73776908023485]",Andrés Iniesta Luján,10,0
La Liga 2008/2009 Barcelona,1111111111,31,"[120, 40]",Shot,11,0
La Liga 2009/2010 Barcelona,20176,35,"[13.038028169014082, 40.758309859154906]",Víctor Valdés Arribas,0,1
La Liga 2009/2010 Barcelona,5503,30,"[74.94919093851124, 47.967152103559926]",Lionel Andrés Messi Cuccittini,1,0
La Liga 2009/2010 Barcelona,20125,28,"[46.39616724738675, 46.84337979094076]",Carles Puyol i Saforcada,2,0
La Liga 2009/2010 Barcelona,20131,28,"[62.53313201035379, 44.34693701466781]",Xavier Hernández Creus,3,0
La Liga 2009/2010 Barcelona,5213,26,"[43.807057057057044, 48.55315315315312]",Gerard Piqué Bernabéu,4,0
La Liga 2009/2010 Barcelona,4324,25,"[61.51404255319148, 66.86354609929076]",Daniel Alves da Silva,5,0
La Liga 2009/2010 Barcelona,5203,24,"[55.951689612015, 41.472465581977424]",Sergio Busquets i Burgos,6,0
La Liga 2009/2010 Barcelona,26613,23,"[58.1893574297189, 13.954417670682727]",Maxwell Scherrer Cabelino Andrade,7,0
La Liga 2009/2010 Barcelona,20169,22,"[61.92117863720069, 25.808655616942886]",Seydou Kéita,8,0
La Liga 2009/2010 Barcelona,3672,20,"[78.17522522522522, 35.522972972972966]",Zlatan Ibrahimović,9,0
La Liga 2009/2010 Barcelona,5216,19,"[64.35743999999998, 27.912159999999997]",Andrés Iniesta Luján,10,0
La Liga 2009/2010 Barcelona,1111111111,35,"[120, 40]",Shot,11,0
La Liga 2010/2011 Barcelona,5503,31,"[75.0613970588235, 45.033823529411826]",Lionel Andrés Messi Cuccittini,0,0
La Liga 2010/2011 Barcelona,5216,29,"[65.99108280254774, 32.18507734303911]",Andrés Iniesta Luján,1,0
La Liga 2010/2011 Barcelona,12737,29,"[79.26366666666667, 29.05300000000001]",David Villa Sánchez,2,0
La Liga 2010/2011 Barcelona,20176,28,"[13.436912751677864, 41.0030201342282]",Víctor Valdés Arribas,3,1
La Liga 2010/2011 Barcelona,4324,28,"[65.7665178571429, 66.2956473214286]",Daniel Alves da Silva,4,0
La Liga 2010/2011 Barcelona,5213,28,"[45.82462311557789, 49.78718592964829]",Gerard Piqué Bernabéu,5,0
La Liga 2010/2011 Barcelona,20131,26,"[64.43217391304329, 45.00687747035564]",Xavier Hernández Creus,6,0
La Liga 2010/2011 Barcelona,5203,22,"[54.69088937093278, 39.6431670281996]",Sergio Busquets i Burgos,7,0
La Liga 2010/2011 Barcelona,3958,22,"[74.3280487804878, 45.71219512195125]",Pedro Eliezer Rodríguez Ledesma,8,0
La Liga 2010/2011 Barcelona,20177,20,"[48.294788273615644, 20.770521172638453]",Eric-Sylvain Bilal Abidal,9,0
La Liga 2010/2011 Barcelona,26613,16,"[61.06021739130429, 12.617173913043475]",Maxwell Scherrer Cabelino Andrade,10,0
La Liga 2010/2011 Barcelona,1111111111,31,"[120, 40]",Shot,11,0
La Liga 2011/2012 Barcelona,5503,36,"[75.92906832298138, 48.37801242236022]",Lionel Andrés Messi Cuccittini,0,0
La Liga 2011/2012 Barcelona,20176,34,"[12.737900874635562, 41.66559766763847]",Víctor Valdés Arribas,1,1
La Liga 2011/2012 Barcelona,5506,29,"[43.66874999999999, 41.796683673469396]",Javier Alejandro Mascherano,2,0
La Liga 2011/2012 Barcelona,5203,28,"[54.66139747995421, 39.15154639175253]",Sergio Busquets i Burgos,3,0
La Liga 2011/2012 Barcelona,4324,28,"[63.28490127758419, 65.53495934959356]",Daniel Alves da Silva,4,0
La Liga 2011/2012 Barcelona,20131,25,"[64.972255319149, 46.270297872340386]",Xavier Hernández Creus,5,0
La Liga 2011/2012 Barcelona,20125,23,"[45.37724137931033, 44.43126436781605]",Carles Puyol i Saforcada,6,0
La Liga 2011/2012 Barcelona,3478,22,"[66.78405797101449, 40.77275362318837]",Francesc Fàbregas i Soler,7,0
La Liga 2011/2012 Barcelona,20177,20,"[47.698144712430434, 20.308348794063065]",Eric-Sylvain Bilal Abidal,8,0
La Liga 2011/2012 Barcelona,5216,20,"[69.32259615384615, 30.284294871794856]",Andrés Iniesta Luján,9,0
La Liga 2011/2012 Barcelona,3385,20,"[74.67154471544717, 44.753252032520344]",Alexis Alejandro Sánchez Sánchez,10,0
La Liga 2011/2012 Barcelona,1111111111,36,"[120, 40]",Shot,11,0
La Liga 2012/2013 Barcelona,5503,28,"[76.44305555555552, 45.53780864197535]",Lionel Andrés Messi Cuccittini,0,0
La Liga 2012/2013 Barcelona,20176,27,"[12.32655367231638, 40.79039548022602]",Víctor Valdés Arribas,1,1
La Liga 2012/2013 Barcelona,5211,24,"[58.464783180026245, 13.58212877792377]",Jordi Alba Ramos,2,0
La Liga 2012/2013 Barcelona,3478,24,"[66.96961130742042, 37.673498233215625]",Francesc Fàbregas i Soler,3,0
La Liga 2012/2013 Barcelona,5213,23,"[44.1878923766816, 52.379222720478246]",Gerard Piqué Bernabéu,4,0
La Liga 2012/2013 Barcelona,5203,23,"[55.397921478059985, 39.66893764434176]",Sergio Busquets i Burgos,5,0
La Liga 2012/2013 Barcelona,4324,22,"[64.59840116279064, 67.50436046511622]",Daniel Alves da Silva,6,0
La Liga 2012/2013 Barcelona,20131,21,"[63.78427272727272, 43.31754545454551]",Xavier Hernández Creus,7,0
La Liga 2012/2013 Barcelona,3958,21,"[72.66831460674165, 58.60112359550559]",Pedro Eliezer Rodríguez Ledesma,8,0
La Liga 2012/2013 Barcelona,5216,19,"[67.7011406844107, 27.954499366286445]",Andrés Iniesta Luján,9,0
La Liga 2012/2013 Barcelona,5506,18,"[41.90852878464818, 32.95202558635395]",Javier Alejandro Mascherano,10,0
La Liga 2012/2013 Barcelona,1111111111,28,"[120, 40]",Shot,11,0
La Liga 2013/2014 Barcelona,5503,29,"[77.58881118881129, 46.7909090909091]",Lionel Andrés Messi Cuccittini,0,0
La Liga 2013/2014 Barcelona,5203,26,"[55.18633540372677, 41.06310559006211]",Sergio Busquets i Burgos,1,0
La Liga 2013/2014 Barcelona,4324,24,"[65.14101307189549, 66.31111111111117]",Daniel Alves da Silva,2,0
La Liga 2013/2014 Barcelona,5506,24,"[42.064618644067835, 31.756567796610177]",Javier Alejandro Mascherano,3,0
La Liga 2013/2014 Barcelona,3958,24,"[76.77701149425286, 35.55632183908047]",Pedro Eliezer Rodríguez Ledesma,4,0
La Liga 2013/2014 Barcelona,20176,23,"[11.201351351351354, 40.20337837837839]",Víctor Valdés Arribas,5,1
La Liga 2013/2014 Barcelona,20131,22,"[64.58727490996405, 44.0714285714286]",Xavier Hernández Creus,6,0
La Liga 2013/2014 Barcelona,5216,21,"[67.36455108359141, 31.457739938080508]",Andrés Iniesta Luján,7,0
La Liga 2013/2014 Barcelona,3478,21,"[66.81121076233184, 38.208071748878965]",Francesc Fàbregas i Soler,8,0
La Liga 2013/2014 Barcelona,22102,20,"[59.88480725623579, 21.92607709750565]",Adriano Correia Claro,9,0
La Liga 2013/2014 Barcelona,3385,20,"[77.5302158273381, 61.64892086330937]",Alexis Alejandro Sánchez Sánchez,10,0
La Liga 2013/2014 Barcelona,1111111111,29,"[120, 40]",Shot,11,0
La Liga 2014/2015 Barcelona,4691,37,"[13.422591362126248, 39.36943521594681]",Claudio Andrés Bravo Muñoz,0,1
La Liga 2014/2015 Barcelona,5503,37,"[77.55127610208811, 50.68874709976797]",Lionel Andrés Messi Cuccittini,1,0
La Liga 2014/2015 Barcelona,4324,29,"[65.3115776081425, 66.44758269720106]",Daniel Alves da Silva,2,0
La Liga 2014/2015 Barcelona,4320,29,"[78.98007380073797, 20.54852398523985]",Neymar da Silva Santos Junior,3,0
La Liga 2014/2015 Barcelona,5203,29,"[59.59968487394962, 41.58413865546217]",Sergio Busquets i Burgos,4,0
La Liga 2014/2015 Barcelona,5211,27,"[62.1415789473684, 12.829342105263157]",Jordi Alba Ramos,5,0
La Liga 2014/2015 Barcelona,5213,26,"[43.695400593471845, 51.58412462908012]",Gerard Piqué Bernabéu,6,0
La Liga 2014/2015 Barcelona,5506,26,"[50.39773691654878, 37.90891089108909]",Javier Alejandro Mascherano,7,0
La Liga 2014/2015 Barcelona,5246,25,"[82.09897610921497, 43.655631399317414]",Luis Alberto Suárez Díaz,8,0
La Liga 2014/2015 Barcelona,10609,23,"[48.65612582781461, 23.49602649006623]",Jérémy Mathieu,9,0
La Liga 2014/2015 Barcelona,5470,23,"[65.31333333333338, 53.825733333333325]",Ivan Rakitić,10,0
La Liga 2014/2015 Barcelona,1111111111,37,"[120, 40]",Shot,11,0
La Liga 2015/2016 Barcelona,5503,31,"[76.49453642384093, 50.02135761589401]",Lionel Andrés Messi Cuccittini,0,0
La Liga 2015/2016 Barcelona,5246,30,"[83.77058823529407, 43.21019607843136]",Luis Alberto Suárez Díaz,1,0
La Liga 2015/2016 Barcelona,4320,29,"[79.45390946502054, 19.672839506172867]",Neymar da Silva Santos Junior,2,0
La Liga 2015/2016 Barcelona,5506,29,"[45.60454545454547, 34.6659779614325]",Javier Alejandro Mascherano,3,0
La Liga 2015/2016 Barcelona,5203,29,"[56.49281575898027, 40.25944380069526]",Sergio Busquets i Burgos,4,0
La Liga 2015/2016 Barcelona,4691,27,"[13.94623655913979, 40.432616487455206]",Claudio Andrés Bravo Muñoz,5,1
La Liga 2015/2016 Barcelona,5470,26,"[62.04665605095537, 55.53248407643305]",Ivan Rakitić,6,0
La Liga 2015/2016 Barcelona,5213,25,"[44.59125188536953, 54.65942684766218]",Gerard Piqué Bernabéu,7,0
La Liga 2015/2016 Barcelona,5211,24,"[58.265443425076484, 13.415596330275225]",Jordi Alba Ramos,8,0
La Liga 2015/2016 Barcelona,5216,24,"[66.41134453781514, 27.90364145658264]",Andrés Iniesta Luján,9,0
La Liga 2015/2016 Barcelona,4324,20,"[60.57745974955272, 66.02271914132373]",Daniel Alves da Silva,10,0
La Liga 2015/2016 Barcelona,1111111111,31,"[120, 40]",Shot,11,0
La Liga 2016/2017 Barcelona,20055,32,"[11.700519480519478, 40.57740259740262]",Marc-André ter Stegen,0,1
La Liga 2016/2017 Barcelona,5503,32,"[77.28203124999996, 45.21542968750005]",Lionel Andrés Messi Cuccittini,1,0
La Liga 2016/2017 Barcelona,5246,31,"[83.3342857142857, 41.462857142857146]",Luis Alberto Suárez Díaz,2,0
La Liga 2016/2017 Barcelona,5203,29,"[56.73806275579806, 41.302046384720335]",Sergio Busquets i Burgos,3,0
La Liga 2016/2017 Barcelona,4320,26,"[79.59255813953494, 19.728837209302352]",Neymar da Silva Santos Junior,4,0
La Liga 2016/2017 Barcelona,5470,25,"[63.82262521588947, 50.94283246977553]",Ivan Rakitić,5,0
La Liga 2016/2017 Barcelona,5492,24,"[43.48190789473682, 31.381414473684213]",Samuel Yves Umtiti,6,0
La Liga 2016/2017 Barcelona,6379,22,"[61.60701030927832, 65.48536082474226]",Sergi Roberto Carnicer,7,0
La Liga 2016/2017 Barcelona,5213,22,"[44.262335216572495, 46.522598870056534]",Gerard Piqué Bernabéu,8,0
La Liga 2016/2017 Barcelona,5211,19,"[56.97022587268997, 15.205133470225867]",Jordi Alba Ramos,9,0
La Liga 2016/2017 Barcelona,5506,18,"[48.186553030303024, 50.02575757575753]",Javier Alejandro Mascherano,10,0
La Liga 2016/2017 Barcelona,1111111111,32,"[120, 40]",Shot,11,0
La Liga 2017/2018 Barcelona,20055,35,"[11.75150684931507, 40.30493150684933]",Marc-André ter Stegen,0,1
La Liga 2017/2018 Barcelona,5503,32,"[75.0770290964777, 45.517151607963264]",Lionel Andrés Messi Cuccittini,1,0
La Liga 2017/2018 Barcelona,5246,30,"[81.11993670886076, 32.33829113924053]",Luis Alberto Suárez Díaz,2,0
La Liga 2017/2018 Barcelona,5470,29,"[58.1833333333333, 46.89243421052626]",Ivan Rakitić,3,0
La Liga 2017/2018 Barcelona,5213,28,"[40.62254601226996, 53.52331288343562]",Gerard Piqué Bernabéu,4,0
La Liga 2017/2018 Barcelona,5211,28,"[58.5618181818182, 13.467972027972031]",Jordi Alba Ramos,5,0
La Liga 2017/2018 Barcelona,5203,28,"[56.009207161125325, 37.920204603580565]",Sergio Busquets i Burgos,6,0
La Liga 2017/2018 Barcelona,5216,24,"[65.958273381295, 24.63075539568345]",Andrés Iniesta Luján,7,0
La Liga 2017/2018 Barcelona,6379,23,"[61.67888888888892, 61.55380952380949]",Sergi Roberto Carnicer,8,0
La Liga 2017/2018 Barcelona,5492,23,"[41.16050724637682, 25.78876811594206]",Samuel Yves Umtiti,9,0
La Liga 2017/2018 Barcelona,5542,20,"[62.800612244898, 44.58265306122451]",José Paulo Bezzera Maciel Júnior,10,0
La Liga 2017/2018 Barcelona,1111111111,35,"[120, 40]",Shot,11,0
La Liga 2018/2019 Barcelona,5213,33,"[41.90318275153998, 53.55472279260783]",Gerard Piqué Bernabéu,0,0
La Liga 2018/2019 Barcelona,20055,32,"[12.140318302387266, 40.72572944297082]",Marc-André ter Stegen,1,1
La Liga 2018/2019 Barcelona,5211,30,"[60.387279596977294, 13.166876574307308]",Jordi Alba Ramos,2,0
La Liga 2018/2019 Barcelona,5503,29,"[75.34325203252025, 46.50861788617886]",Lionel Andrés Messi Cuccittini,3,0
La Liga 2018/2019 Barcelona,5246,29,"[78.4405315614618, 40.48006644518273]",Luis Alberto Suárez Díaz,4,0
La Liga 2018/2019 Barcelona,5203,28,"[55.675257731958794, 40.682245131729665]",Sergio Busquets i Burgos,5,0
La Liga 2018/2019 Barcelona,5470,27,"[59.16313645621176, 46.43655804480646]",Ivan Rakitić,6,0
La Liga 2018/2019 Barcelona,6379,21,"[63.57808896210874, 62.23558484349256]",Sergi Roberto Carnicer,7,0
La Liga 2018/2019 Barcelona,8206,21,"[62.761140819964346, 47.08770053475939]",Arturo Erasmo Vidal Pardo,8,0
La Liga 2018/2019 Barcelona,6374,20,"[62.81470588235295, 65.73484162895929]",Nélson Cabral Semedo,9,0
La Liga 2018/2019 Barcelona,3501,20,"[73.0347912524851, 23.280516898608347]",Philippe Coutinho Correia,10,0
La Liga 2018/2019 Barcelona,1111111111,33,"[120, 40]",Shot,11,0
La Liga 2019/2020 Barcelona,5503,32,"[75.88150594451785, 49.2935270805812]",Lionel Andrés Messi Cuccittini,0,0
La Liga 2019/2020 Barcelona,20055,31,"[13.16064356435644, 41.02178217821782]",Marc-André ter Stegen,1,1
La Liga 2019/2020 Barcelona,5213,30,"[45.12172923777021, 50.68225255972698]",Gerard Piqué Bernabéu,2,0
La Liga 2019/2020 Barcelona,5487,26,"[74.79999999999995, 34.06666666666661]",Antoine Griezmann,3,0
La Liga 2019/2020 Barcelona,5203,25,"[58.8632587859425, 40.44472843450477]",Sergio Busquets i Burgos,4,0
La Liga 2019/2020 Barcelona,6826,23,"[45.98303030303028, 26.548939393939392]",Clément Lenglet,5,0
La Liga 2019/2020 Barcelona,6379,23,"[64.15890957446804, 57.88896276595739]",Sergi Roberto Carnicer,6,0
La Liga 2019/2020 Barcelona,5211,21,"[63.40358814352572, 13.483775351014033]",Jordi Alba Ramos,7,0
La Liga 2019/2020 Barcelona,6374,20,"[63.28868274582565, 61.03079777365497]",Nélson Cabral Semedo,8,0
La Liga 2019/2020 Barcelona,5246,20,"[77.68451327433628, 36.40265486725664]",Luis Alberto Suárez Díaz,9,0
La Liga 2019/2020 Barcelona,8118,19,"[60.72775665399237, 38.9338403041825]",Frenkie de Jong,10,0
La Liga 2019/2020 Barcelona,1111111111,32,"[120, 40]",Shot,11,0
La Liga 2020/2021 Barcelona,5211,33,"[64.3328934010153, 13.335837563451763]",Jordi Alba Ramos,0,0
La Liga 2020/2021 Barcelona,5503,33,"[76.28396674584323, 45.30712589073629]",Lionel Andrés Messi Cuccittini,1,0
La Liga 2020/2021 Barcelona,8118,32,"[60.19215876089059, 39.63969022265244]",Frenkie de Jong,2,0
La Liga 2020/2021 Barcelona,5203,30,"[60.64644268774705, 41.794762845849824]",Sergio Busquets i Burgos,3,0
La Liga 2020/2021 Barcelona,20055,29,"[11.704034582132566, 39.61152737752163]",Marc-André ter Stegen,4,1
La Liga 2020/2021 Barcelona,5487,29,"[74.46686626746508, 37.307984031936144]",Antoine Griezmann,5,0
La Liga 2020/2021 Barcelona,6826,28,"[48.21802325581388, 24.019534883720908]",Clément Lenglet,6,0
La Liga 2020/2021 Barcelona,30486,26,"[70.47105643994209, 33.34645441389291]",Pedro González López,7,0
La Liga 2020/2021 Barcelona,21881,21,"[69.61120879120882, 64.02923076923081]",Sergino Dest,8,0
La Liga 2020/2021 Barcelona,43728,20,"[51.68424908424908, 57.95457875457874]",Óscar Mingueza García,9,0
La Liga 2020/2021 Barcelona,5213,18,"[44.90674157303369, 46.00134831460674]",Gerard Piqué Bernabéu,10,0
La Liga 2020/2021 Barcelona,1111111111,33,"[120, 40]",Shot,11,0
